پ,Eng Name,Ar Name
233,`Abd al-Raḥmān Rakkī (Dr.),عبد الرحمان ركي
234,`Abd al-Raḥmān Sīdi Aḥmad (?),عبد الرحمان سدي أحمد (؟)
235,`Abd al-Rashid b. Muḥammad al-Wurī (Olore),عبدالرشيد بن محمد الوري
236,`Abd al-Razzaq al-Kashānī,عبد الرزاق الكشاني
238,`Abd al-Ṣādiq b. Aḥmad b. `Abd al-Ṣādiq,عبد الصادق بن أحمد بن عبد الصادق
239,`Abd al-Salām,عبد السلام
240,`Abd al-Salām Aḥmad b. al-Shaykh Ghānim,عبد السلام أحمد بن الشيخ غانم
241,`Abd al-Salām al-Asmar b. Sulaym al-Faytūrī,عبد السلام الأسمر بن سليم  الفيتوري
242,`Abd al-Salām al-Zamūrī,عبد السلام الزموري
243,`Abd al-Salām b. al-Ṭayyib al-Qādirī,عبد السلام بن الطيب القادري
244,`Abd al-Salām b. Ḥusayn b. Ḥamdūn al-Barnāwī al-Ghasarkamī,عبدالسلام بن حسين بن حمدون البرناوي الغسركمي
246,`Abd al-Salām b. Muḥammad al-Ḥasan al-Sanūsī al-Tijānī,عبد السلام بن محمد بن الحسن السنوسي التجاني
247,`Abd al-Salām b. Sulaymān,عبد السلام بن سليمان
248,`Abd as-Salām b. Muḥammad b. `Abd al-Jalīl b. Ḥurma al-`Alawī,عبد السلام بن محمد بن عبد الجليل بن حرمه العلوي
249,`Abd al-Samad b. Abī Bakr,عبد الصمد بن أبي بكر
250,`Abd al-Sami` al-Abī al-Azharī,عبد السميع الآبي الأزهري
251,`Abd al-Wadūd Aḥmad b. `Uthmān b. Mawlūd,عبد الودود أحمد بن عثمان بن مولد
252,`Abd al-Wadūd b. `Abd al-Raḥmān al-Tāggāṭī,عبد الودود بن عبد الرحمان التاكاطي
254,`Abd al-Wadūd b. `Abd Allāh b. Anjubnān al-Alfagha Ḥayballī,عبد الودود بن عبد الله بن انجبنان الأَلْفَغَ حيبلي
256,`Abd al-Wadūd b. Muḥammad b. al-Ḥaḍramī al-Majlisī,عبد الودود بن محمد بن الحضرمي المجلسي
258,`Abd al-Wahhāb Ādam al-Falākī,عبد الوهاب ادم الفلاكي
259,`Abd al-Wahhāb b. `Alī al-Baghdādī al-Tha`ālibī,عبد الوهاب بن علي‏ ‬البغدادي‏ ‬الثعلبي‏ ‬
260,`Abd al-Wahhāb b. `Alī b. Naṣr al-Taghlabī al-Baghdādī,عبد الوهاب بن علي بن نصر التغلبي البغدادي
263,`Abd al-Wahhāb b. Aḥmad b. `Alī al-Sh`arānī al-Zaghalī al-Anṣārī,عبد الوهاب بن أحمد بن علي‏ ‬الشعراني‏ ‬الزغلي الأنصاري‏ ‬
265,`Abd al-Wahhāb b. al-Ḥasan al-Muhallabī,عبد الوهاب بن الحسن المهلبي
267,`Abd al-Wāḥid b. Aḥmad,عبد الواحد بن أحمد
272,`Abd al-Wāḥid b. Aḥmad b. `Alī b. `Āshir al-Anṣārī al-Fasi,عبد الواحد بن أحمد بن علي‏ بن عاشر الأنصاري‏ ‬الفاسي
273,`Abd al-Wāḥid b. Aḥmad b. Ṣāliḥ al-Dar`ī,عبد الواحد بن أحمد بن صالح الدرعي
275,`Abd al-Wāḥid b. al-Ḥusayn al-Rajrājī al-Maghribī, عبد الواحد بن الحسين الرجراجي المغربي
276,`Abd al-Wārath b. `Abd Allāh b. Mūsa al-Bālaṣūtī al-Ghamārī,عبد الوارث بن عبد الله بن موسى البالصوتي‏ ‬الغماري
277,`Abd Allāh,عبد الله
278,`Abd Allāh (Kandūz),عبد الله
279,`Abd Allāh `Uthmān b. Sālim,عبد الله عثمان بن سليم
280,`Abd Allāh (?),عبد الله (?)
281,`Abd Allāh Ādam,عبد الله آدم
282,`Abd Allāh al-`Alawī,عبد الله العلوي
283,`Abd Allāh al-`Atīq b. Dhī al-Khilāl al-Ya`qūbī,عبد الله العتيق بن ذي الخلالي اليعقوبي
284,`Abd Allāh al-Kafīf,عبد الله الكفيف
285,`Abd Allāh al-Kanawī,عبد الله الكنوي
286,`Abd Allāh al-Khayyaṭ b. Muḥammad al-Hārūshī al-Fāsī,عبد الله الخياط بن محمد الهاروشي الفاسي
287,`Abd Allāh al-Maghribī al-Qurṭūbī, عبد الله المغربي القرطبي
288,`Abd Allāh al-Mukhtār b. Aḥmad b. Abī Bakr,عبد الله المختار بن أحمد بن أبي بكر
289,`Abd Allāh al-Muṣṭafa b. Muḥammad b. Aḥmadi al-Ḥasanī al-Yūsafī,عبد الله المصطفي بن محمد بن أحمدي الحسني اليوسفي
290,`Abd Allāh al-Musūmī b. Sīdi b. Bakr Qanūn,عبد الله المسومي بن سيد بن بكر قنون
291,`Abd Allāh al-Muzammil b. Isḥāq,عبد الله المزمل بن إسحاق
292,`Abd Allāh al-Sadrāwī,عبد الله السدراوي
293,`Abd Allāh al-Sālim b. Aḥmayid,عبد الله السالم بن احميد
294,`Abd Allāh al-Sālim b. al-Shaykh al-Ḥasanī,عبد الله السالم بن الشيخ الحسني
295,`Abd Allāh al-Sālim b. Ḥib Allāh,عبد الله السالم بن حب الله
296,`Abd Allāh as-Sālim b. Muḥammaddū b. Ḥanbal al-Āgdāshī al-Ḥasanī,عبد الله السالم بن محمدو بن حنبل الأكداشي الحسني
297,`Abd Allāh al-Sūsī,عبد الله السوسي
298,`Abd Allāh al-Tāwī b. al-Ṭālib,عبد الله التاوي بن الطالب
300,`Abd Allāh al-Tījānī,عبد الله التجاني
301,`Abd Allāh al-Tīnbuktī,عبد الله التنبكتي
302,`Abd Allāh b. `Abd al-Ḥamīd al-Sūqī,عبد الله بن عبد الحميد السوقي
303,`Abd Allāh b. `Abd al-Jalīl,عبد الله بن عبد الجليل
304,`Abd Allāh b. `Abd al-Laṭīf al-`Alawī,عبد الله بن عبد اللطيف العلوي
305,`Abd Allāh b. `Abd al-Rahīm al-Tamūkalī,عبد الله بن عبد الرحيم التموكلي
306,`Abd Allāh b. `Abd al-Raḥmān,عبد الله بن عبد الرحمان
307,`Abd Allāh b. `Abd al-Raḥmān al-`Uthmānī,عبد الله بن عبد الرحمان العثماني
308,`Abd Allāh b. `Abd al-Raḥmān al-Inkundarī,عبد الله بن عبد الرحمان الإنكندري
309,`Abd Allāh b. `Abd al-Raḥmān al-Qurashī al-Hāshimī,عبد الله بن عبد الرحمان القرشي الهاشمي
310,`Abd Allāh b. `Abd al-Raḥmān al-Tawankalī (?),عبد الله بن عبد الرحمان التونكلي
311,`Abd Allāh b. `Abd al-Razāq al-Miknāsī al-`Uthmānī,عبد الله بن عبد الرزاق العثماني‏ ‬المكناسي‏ ‬
313,`Abd Allāh b. `Abd al-Wadūd,عبد الله بن عبد الودود
314,`Abd Allāh b. `Alī al-Murādī,عبد الله بن علي المرادي
315,`Abd Allāh b. `Alī al-Qurashī,عبد الله بن علي العطار القرشي
317,`Abd Allāh b. `Alī b. `Abd Allāh b. `Alī al-Kinānī,عبد الله بن علي‏ ‬بن عبد الله بن علي‏ ‬الكناني‏‏
319,`Abd Allāh b. `Alī b. `Athābasadūd b. Mūsa  al-Daḥḥalī,عبد الله بن علي بن عثابسدود بن موسي بن الدحالي
320,`Abd Allāh b. `Alī b. Salmūn al-Kinānī al-Gharnāṭī,عبد الله بن علي بن سلمون الكناني الغرناطي
321,`Abd Allāh b. `Allāl,عبد الله بن علال
322,`Abd Allāh b. `Amr al-Maghrāwī al-Filālī,عبد الله بن عمر المغراوي الفلالي
324,`Abd Allāh b. `Umar b. Hishām al-Ḥaḍramī,عبد الله بن عمر ابن هشام الحضرمي
325,`Abd Allāh b. `Uthmān al-Khazrajī,بن 
